"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","1999","1999","TONNEKM","Tonnes-kilometres","6","Millions",,,526,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2000","2000","TONNEKM","Tonnes-kilometres","6","Millions",,,491,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2001","2001","TONNEKM","Tonnes-kilometres","6","Millions",,,516,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2002","2002","TONNEKM","Tonnes-kilometres","6","Millions",,,426,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2003","2003","TONNEKM","Tonnes-kilometres","6","Millions",,,398,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2004","2004","TONNEKM","Tonnes-kilometres","6","Millions",,,399,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2005","2005","TONNEKM","Tonnes-kilometres","6","Millions",,,303,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2006","2006","TONNEKM","Tonnes-kilometres","6","Millions",,,207,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2007","2007","TONNEKM","Tonnes-kilometres","6","Millions",,,129,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2008","2008","TONNEKM","Tonnes-kilometres","6","Millions",,,103,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2009","2009","TONNEKM","Tonnes-kilometres","6","Millions",,,79,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2010","2010","TONNEKM","Tonnes-kilometres","6","Millions",,,92,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2011","2011","TONNEKM","Tonnes-kilometres","6","Millions",,,105,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2012","2012","TONNEKM","Tonnes-kilometres","6","Millions",,,91,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2013","2013","TONNEKM","Tonnes-kilometres","6","Millions",,,99,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2014","2014","TONNEKM","Tonnes-kilometres","6","Millions",,,100,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2015","2015","TONNEKM","Tonnes-kilometres","6","Millions",,,96,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2016","2016","TONNEKM","Tonnes-kilometres","6","Millions",,,101,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2017","2017","TONNEKM","Tonnes-kilometres","6","Millions",,,100,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2018","2018","TONNEKM","Tonnes-kilometres","6","Millions",,,89,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2019","2019","TONNEKM","Tonnes-kilometres","6","Millions",,,72,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2020","2020","TONNEKM","Tonnes-kilometres","6","Millions",,,74,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2021","2021","TONNEKM","Tonnes-kilometres","6","Millions",,,70,,
"IRL","Ireland","T-GOODS-RL-TOT","Rail freight transport","2022","2022","TONNEKM","Tonnes-kilometres","6","Millions",,,81,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1981","1981","TONNEKM","Tonnes-kilometres","6","Millions",,,8391,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1982","1982","TONNEKM","Tonnes-kilometres","6","Millions",,,8000,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1983","1983","TONNEKM","Tonnes-kilometres","6","Millions",,,8091,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1984","1984","TONNEKM","Tonnes-kilometres","6","Millions",,,7981,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1985","1985","TONNEKM","Tonnes-kilometres","6","Millions",,,8067,,
"FIN","Finland","T-GOODS-RL-TOT","Rail freight transport","1986","1986","TONNEKM","Tonnes-kilometres","6","Millions",,,6952,,
